so,m73,(ə-)ˈlʔuːd-ən,ear,,(ə-)ˈlʔuːd-ən,,"pinnow1959versuch[p. 97, item 1319, set V147]",,Pinnow comparative set V147. Linked to Rau m73 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p97.i1319.sV147,,,,
gu,,ɡunomti,a dream,,ɡunomti,,"pinnow1959versuch[p. 267, item 477, set K351]",,Pinnow comparative set K351.,pinnow1959versuch:C:c8.p267.i477.sK351,,,,
sa,m89,ɡur,"to fall down; to fell, kill, slaughter",,ɡur,,"pinnow1959versuch[p. 91, item 1272-2, set V106]",,Pinnow comparative set V106. Linked to Rau m89 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p91.i1272-2.sV106,,,,
kh,m89,ɡur,to fall,,ɡur,,"pinnow1959versuch[p. 91, item 1272, set V106]",,Pinnow comparative set V106. Linked to Rau m89 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p91.i1272.sV106,,,,
so,m89,ɡur,to ripen,,ɡur,,"pinnow1959versuch[p. 91, item 1272, set V106]",,Pinnow comparative set V106. Linked to Rau m89 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p91.i1272.sV106,,,,
ho,m89,ɡur,to throw down,,ɡur,,"pinnow1959versuch[p. 91, item 1272, set V106]",,Pinnow comparative set V106. Linked to Rau m89 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c6.p91.i1272.sV106,,,,
mu,m89,ɡur,to throw down,,ɡur,,"pinnow1959versuch[p. 91, item 1272-2, set V106]",,Pinnow comparative set V106. Linked to Rau m89 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p91.i1272-2.sV106,,,,
gu,,ɡurrɑːji,thorn,,ɡurrɑːji,,"pinnow1959versuch[p. 76, item 1213, set V51]",,Pinnow comparative set V51.,pinnow1959versuch:C:c8.p76.i1213.sV051,,,,
gu,,ɡus(s)oː,dog,,ɡus(s)oː,,"pinnow1959versuch[p. 112, item 1386, set V210]",,Pinnow comparative set V210.,pinnow1959versuch:C:c8.p112.i1386.sV210,,,,
re,,ɡusoː,dog,,ɡusoː,,"pinnow1959versuch[p. 112, item 1386, set V210]",,Pinnow comparative set V210.,pinnow1959versuch:C:c10.p112.i1386.sV210,,,,
re,,ɡusuː,dog,,ɡusuː,,"pinnow1959versuch[p. 112, item 1386, set V210]",,Pinnow comparative set V210.,pinnow1959versuch:C:c10.p112.i1386.sV210:v2,pinnow1959versuch:C:c10.p112.i1386.sV210,,,
kh,,ɡuŋɡu,"a waterproof covering or hood of leaves, leafy hat (umbrella)",,ɡuŋɡu,,"pinnow1959versuch[p. 93, item 1289, set V123]",,Pinnow comparative set V123.,pinnow1959versuch:C:c1.p93.i1289.sV123,,,,
mu,,ɡuŋɡu,"a waterproof covering or hood of leaves, leafy hat (umbrella)",,ɡuŋɡu,,"pinnow1959versuch[p. 93, item 1289, set V123]",,Pinnow comparative set V123.,pinnow1959versuch:C:c4.p93.i1289.sV123,,,,
sa,,ɡuŋɡu,"a waterproof covering or hood of leaves, leafy hat (umbrella)",,ɡuŋɡu,,"pinnow1959versuch[p. 93, item 1289, set V123]",,Pinnow comparative set V123.,pinnow1959versuch:C:c2.p93.i1289.sV123,,,,
sa,,ɡuɟuʔ,dead,,ɡuɟuʔ,,"pinnow1959versuch[p. 203, item 70-1, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c2.p203.i70-1.sK067,,,,
sa,,ɡuɡu,to carry on the back,,ɡuɡu,,"pinnow1959versuch[p. 172, item 1612-1, set V375]",,Pinnow comparative set V375.,pinnow1959versuch:C:c2.p172.i1612-1.sV375,,,,
sa,,ɡuɽum,"quiet, silent, still, calm",,ɡuɽum,,"pinnow1959versuch[p. 178, item 1634, set V392]",,Pinnow comparative set V392.,pinnow1959versuch:C:c2.p178.i1634.sV392,,,,
kh,,ɡuˀɟ,to wash (cloth),,ɡuˀɟ,,"pinnow1959versuch[p. 202, item 63, set K61]",,Pinnow comparative set K61.,pinnow1959versuch:C:c1.p202.i63.sK061,,,,
kh,,ɡuˀɟɖɑʔ,to wash self,,ɡuˀɟɖɑʔ,,"pinnow1959versuch[p. 202, item 63-1, set K61]",,Pinnow comparative set K61.,pinnow1959versuch:C:c1.p202.i63-1.sK061,,,,
so,m13,ɡɑd,"to cut, reap, split",,ɡɑd,,"pinnow1959versuch[p. 159, item 1556, set V334]",,Pinnow comparative set V334. Linked to Rau m13 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p159.i1556.sV334,,,,
so,m13,ɡɑr,"to cut, reap, split",,ɡɑr,,"pinnow1959versuch[p. 159, item 1556, set V334]",,Pinnow comparative set V334. Linked to Rau m13 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p159.i1556.sV334:v2,pinnow1959versuch:C:c3.p159.i1556.sV334,,,
so,,ɡɑiloː-ˈɡoːd-ən,"road, way",,ɡɑiloː-ˈɡoːd-ən,,"pinnow1959versuch[p. 114, item 1397, set V217]",,Pinnow comparative set V217.,pinnow1959versuch:C:c3.p114.i1397.sV217,,,,
so,,ɡɑiloː-ˈɡʊːd-ən,"road, way",,ɡɑiloː-ˈɡʊːd-ən,,"pinnow1959versuch[p. 114, item 1397, set V217]",,Pinnow comparative set V217.,pinnow1959versuch:C:c3.p114.i1397.sV217:v2,pinnow1959versuch:C:c3.p114.i1397.sV217,,,
so,,pɑntɑː-ɡoːd-ən,"road, way",,pɑntɑː-ɡoːd-ən,,"pinnow1959versuch[p. 114, item 1397, set V217]",,Pinnow comparative set V217.,pinnow1959versuch:C:c3.p114.i1397.sV217:v3,pinnow1959versuch:C:c3.p114.i1397.sV217,,,
kh,m80,ɡɑm,"to speak, say",,ɡɑm,,"pinnow1959versuch[p. 71, item 1174, set V12]",,Pinnow comparative set V12. Linked to Rau m80 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p71.i1174.sV012,,,,
so,,ɡɑr,to throw with a shovel,,ɡɑr,,"pinnow1959versuch[p. 228, set K224]",,Pinnow comparative set K224.,pinnow1959versuch:C:c3.p228.i.sK224,,,,
so,,ɡɑr,to throw with a shovel,,ɡɑr,,"pinnow1959versuch[p. 71, item 1172, set V10]",,Pinnow comparative set V10.,pinnow1959versuch:C:c3.p71.i1172.sV010,,,,
so,,ɡɑroˀɟ,"to put one to shame, to offend modesty",,ɡɑroˀɟ,,"pinnow1959versuch[p. 202, item 60, set K58]",,Pinnow comparative set K58.,pinnow1959versuch:C:c3.p202.i60.sK058,,,,
kh,,ɡɑʔɽhɑ,river,,ɡɑʔɽhɑ,,"pinnow1959versuch[p. 351, item 913, set K498]",,Pinnow comparative set K498.,pinnow1959versuch:C:c1.p351.i913.sK498,,,,
kh,m96,ɡɑˀɟ,to fry,,ɡɑˀɟ,,"pinnow1959versuch[p. 71, item 1177, set V15]",,Pinnow comparative set V15. Linked to Rau m96 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c1.p71.i1177.sV015,,,,
so,m96,ɡɑˀɟ,to fry,,ɡɑˀɟ,,"pinnow1959versuch[p. 71, item 1177, set V15]",,Pinnow comparative set V15. Linked to Rau m96 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p71.i1177.sV015,,,,
so,m107,ɡɑˈloː,to slip,,ɡɑˈloː,,"pinnow1959versuch[p. 128, item 1455, set V259]",,Pinnow comparative set V259. Linked to Rau m107 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p128.i1455.sV259,,,,
kh,,ɡɑˈsɑˀɟ,charcoal,,ɡɑˈsɑˀɟ,,"pinnow1959versuch[p. 149, item 1499, set V289]",,Pinnow comparative set V289.,pinnow1959versuch:C:c1.p149.i1499.sV289,,,,
so,,ɡɑːɟ-ən (C-F),moon,,ɡɑːɟ-ən (C-F),,"pinnow1959versuch[p. 212, item 163-1, set K151]",,Pinnow comparative set K151.,pinnow1959versuch:C:c3.p212.i163-1.sK151,,,,
so,m80,ɡɑˑm,to say,,ɡɑˑm,,"pinnow1959versuch[p. 71, item 1174, set V12]",,Pinnow comparative set V12. Linked to Rau m80 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p71.i1174.sV012,,,,
mu,,ɡɔeˀɟ,"dead, to kill",,ɡɔeˀɟ,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c4.p203.i70.sK067,,,,
kh,,ɡɔeˀɟ,to die,,ɡɔeˀɟ,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c1.p203.i70.sK067,,,,
kh,,ɡɔˀɟ,to die,,ɡɔˀɟ,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c1.p203.i70.sK067:v2,pinnow1959versuch:C:c1.p203.i70.sK067,,,
mu,,ɡɔmke,the master of the house,,ɡɔmke,,"pinnow1959versuch[p. 105, item 1361, set V185]",,Pinnow comparative set V185.,pinnow1959versuch:C:c4.p105.i1361.sV185,,,,
kh,,ɡɔmkɛ,master,,ɡɔmkɛ,,"pinnow1959versuch[p. 105, item 1361, set V185]",,Pinnow comparative set V185.,pinnow1959versuch:C:c1.p105.i1361.sV185,,,,
mu,,ɡɔnɔŋ,the price asked or paid for a bride,,ɡɔnɔŋ,,"pinnow1959versuch[p. 157, item 1545, set V326]",,Pinnow comparative set V326.,pinnow1959versuch:C:c4.p157.i1545.sV326,,,,
sa,,ɡɔnɔŋ,the price asked or paid for a bride,,ɡɔnɔŋ,,"pinnow1959versuch[p. 157, item 1545, set V326]",,Pinnow comparative set V326.,pinnow1959versuch:C:c2.p157.i1545.sV326,,,,
mu,,ɡɔsɔʔ,"to wither, to anoint, to rub",,ɡɔsɔʔ,,"pinnow1959versuch[p. 112, item 1383, set V207]",,Pinnow comparative set V207.,pinnow1959versuch:C:c4.p112.i1383.sV207,,,,
kh,,ɡɔsɔˀɖ,"to wear out, to denude, to erode",,ɡɔsɔˀɖ,,"pinnow1959versuch[p. 112, item 1383, set V207]",,Pinnow comparative set V207.,pinnow1959versuch:C:c1.p112.i1383.sV207,,,,
kh,,ɡɔŋ,to cook (rice),,ɡɔŋ,,"pinnow1959versuch[p. 110, item 1370, set V194]",,Pinnow comparative set V194.,pinnow1959versuch:C:c1.p110.i1370.sV194,,,,
Mahali,,ɡɔɟɔʔ,dead,,ɡɔɟɔʔ,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c16.p203.i70.sK067,,,,
mu,,ɡɔɟɔʔ,to die,,ɡɔɟɔʔ,,"pinnow1959versuch[p. 203, item 70-1, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c4.p203.i70-1.sK067,,,,
kh,,ɡɔʔ,to carry on the shoulder,,ɡɔʔ,,"pinnow1959versuch[p. 172, item 1612, set V375]",,Pinnow comparative set V375.,pinnow1959versuch:C:c1.p172.i1612.sV375,,,,
mu,,ɡɔʔ,to carry on the shoulder,,ɡɔʔ,,"pinnow1959versuch[p. 172, item 1612, set V375]",,Pinnow comparative set V375.,pinnow1959versuch:C:c4.p172.i1612.sV375,,,,
sa,,ɡɔʔ,to carry on the shoulder,,ɡɔʔ,,"pinnow1959versuch[p. 172, item 1612, set V375]",,Pinnow comparative set V375.,pinnow1959versuch:C:c2.p172.i1612.sV375,,,,
mu,,ɡɔˀd,adverbial affix,,ɡɔˀd,,"pinnow1959versuch[p. 110, item 1371, set V195]",,Pinnow comparative set V195.,pinnow1959versuch:C:c4.p110.i1371.sV195,,,,
mu,,ɡɔˀd,adverbial suffix,,ɡɔˀd,,"pinnow1959versuch[p. 110, item 1371-2, set V195]",,Pinnow comparative set V195.,pinnow1959versuch:C:c4.p110.i1371-2.sV195,,,,suffix
sa,,ɡɔˀd,"quickly, speedily, suddenly (used suffixed to verb)",,ɡɔˀd,,"pinnow1959versuch[p. 110, item 1371-2, set V195]",,Pinnow comparative set V195.,pinnow1959versuch:C:c2.p110.i1371-2.sV195,,,,suffix
sa,,ɡɔˀd,"quickly, speedily, suddenly",,ɡɔˀd,,"pinnow1959versuch[p. 110, item 1371, set V195]",,Pinnow comparative set V195.,pinnow1959versuch:C:c2.p110.i1371.sV195,,,,
kh,,ɡɔˀɖ,auxiliary verb with various functions,,ɡɔˀɖ,,"pinnow1959versuch[p. 110, item 1371, set V195]",,Pinnow comparative set V195.,pinnow1959versuch:C:c1.p110.i1371.sV195,,,,verb auxiliary
kh,,ɡɔˀɖ,helper verb in different funtion,,ɡɔˀɖ,,"pinnow1959versuch[p. 110, item 1371-2, set V195]",,Pinnow comparative set V195.,pinnow1959versuch:C:c1.p110.i1371-2.sV195,,,,verb auxiliary
kh,,ɡɔˀɖɟhuŋ,way,,ɡɔˀɖɟhuŋ,,"pinnow1959versuch[p. 114, item 1397, set V217]",,Pinnow comparative set V217.,pinnow1959versuch:C:c1.p114.i1397.sV217,,,,
kh,,ɡɔˀɟɟhuŋ,way,,ɡɔˀɟɟhuŋ,,"pinnow1959versuch[p. 114, item 1397, set V217]",,Pinnow comparative set V217.,pinnow1959versuch:C:c1.p114.i1397.sV217:v2,pinnow1959versuch:C:c1.p114.i1397.sV217,,,
kh,,ɡɔˀɟhuŋ,way,,ɡɔˀɟhuŋ,,"pinnow1959versuch[p. 114, item 1397, set V217]",,Pinnow comparative set V217.,pinnow1959versuch:C:c1.p114.i1397.sV217:v3,pinnow1959versuch:C:c1.p114.i1397.sV217,,,
sa,,ɡɔˀɟ,"dead, kill, slay, die",,ɡɔˀɟ,,"pinnow1959versuch[p. 203, item 70, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c2.p203.i70.sK067,,,,
kh,,ɡɔˀɟ,death,,ɡɔˀɟ,,"pinnow1959versuch[p. 203, item 70-1, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c1.p203.i70-1.sK067,,,,
kh,,ɡɔˀɟ ki,death,,ɡɔˀɟ ki,,"pinnow1959versuch[p. 203, item 70-1, set K67]",,Pinnow comparative set K67.,pinnow1959versuch:C:c1.p203.i70-1.sK067:v2,pinnow1959versuch:C:c1.p203.i70-1.sK067,,,
kh,,ɡɔˀɟˈlɔʔ,paddy field,,ɡɔˀɟˈlɔʔ,,"pinnow1959versuch[p. 257, item 419, set K318c]",,Pinnow comparative set K318c.,pinnow1959versuch:C:c1.p257.i419.sK318c,,,,
kh,,ɡɔˈrɛ,liver,,ɡɔˈrɛ,,"pinnow1959versuch[p. 105, item 1357, set V181]",,Pinnow comparative set V181.,pinnow1959versuch:C:c1.p105.i1357.sV181,,,,
kh,,ɡɔˈsɔʔ,to anoint,,ɡɔˈsɔʔ,,"pinnow1959versuch[p. 112, item 1383-2, set V207]",,Pinnow comparative set V207.,pinnow1959versuch:C:c1.p112.i1383-2.sV207,,,,
sa,,ɡəviˀɟ,to beckon (with a hand),,ɡəviˀɟ,,"pinnow1959versuch[p. 203, item 71, set K68]",,Pinnow comparative set K68.,pinnow1959versuch:C:c2.p203.i71.sK068,,,,
so,m89,ɡəˈnur-ən,rain,,ɡəˈnur-ən,,"pinnow1959versuch[p. 91, item 1272-1, set V106]",,Pinnow comparative set V106. Linked to Rau m89 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c3.p91.i1272-1.sV106,,,,
so,,ɡəˈrum,to groan,,ɡəˈrum,,"pinnow1959versuch[p. 131, item 1472, set V273]",,Pinnow comparative set V273.,pinnow1959versuch:C:c3.p131.i1472.sV273,,,,
Birhor,m122,ɡɛl,ten,,ɡɛl,,"pinnow1959versuch[p. 126, item 1436, set V249]",,Pinnow comparative set V249. Linked to Rau m122 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c7.p126.i1436.sV249,,,,
Mahali,m122,ɡɛl,ten,,ɡɛl,,"pinnow1959versuch[p. 126, item 1436, set V249]",,Pinnow comparative set V249. Linked to Rau m122 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c16.p126.i1436.sV249,,,,
sa,m122,ɡɛl,ten,,ɡɛl,,"pinnow1959versuch[p. 126, item 1436, set V249]",,Pinnow comparative set V249. Linked to Rau m122 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p126.i1436.sV249,,,,
mu,m122,ɡɛl,ten,,ɡɛl,,"pinnow1959versuch[p. 126, item 1436, set V249]",,Pinnow comparative set V249. Linked to Rau m122 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p126.i1436.sV249,,,,
mu,m122,ɡɛlea,ten,,ɡɛlea,,"pinnow1959versuch[p. 126, item 1436, set V249]",,Pinnow comparative set V249. Linked to Rau m122 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p126.i1436.sV249:v2,pinnow1959versuch:C:c4.p126.i1436.sV249,,,
mu,m122,ɡelea,ten,,ɡelea,,"pinnow1959versuch[p. 126, item 1436, set V249]",,Pinnow comparative set V249. Linked to Rau m122 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p126.i1436.sV249:v3,pinnow1959versuch:C:c4.p126.i1436.sV249,,,
ko,m77,ɡɛlɛ,an ear of any kind of grain,,ɡɛlɛ,,"pinnow1959versuch[p. 105, item 1358, set V182]",,Pinnow comparative set V182. Linked to Rau m77 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p105.i1358.sV182,,,,
mu,m77,ɡɛlɛ,an ear of any kind of grain,,ɡɛlɛ,,"pinnow1959versuch[p. 105, item 1358, set V182]",,Pinnow comparative set V182. Linked to Rau m77 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c4.p105.i1358.sV182,,,,
sa,m77,ɡɛlɛ,an ear of any kind of grain,,ɡɛlɛ,,"pinnow1959versuch[p. 105, item 1358, set V182]",,Pinnow comparative set V182. Linked to Rau m77 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p105.i1358.sV182,,,,
sa,,ɡɛrwɛl,"ring, ring-formed marking (especially on neck, on peacock's feather, on a cobra's neck), striped, speckled, vari",,ɡɛrwɛl,,"pinnow1959versuch[p. 390, item 1106, set K521]",,Pinnow comparative set K521.,pinnow1959versuch:C:c2.p390.i1106.sK521,,,,
sa,,ɡɛɖɛ,the domesticated duck ({Sci.name} Anas domestica),,ɡɛɖɛ,,"pinnow1959versuch[p. 102, item 1333, set V160]",,Pinnow comparative set V160.,pinnow1959versuch:C:c2.p102.i1333.sV160,,,,
mu,,ɡɛɖɛ,the domesticated duck ({Sci.name} Anas domestica),,ɡɛɖɛ,,"pinnow1959versuch[p. 102, item 1333, set V160]",,Pinnow comparative set V160.,pinnow1959versuch:C:c4.p102.i1333.sV160,,,,
mu,,ɡɛɽɛ,the domesticated duck ({Sci.name} Anas domestica),,ɡɛɽɛ,,"pinnow1959versuch[p. 102, item 1333, set V160]",,Pinnow comparative set V160.,pinnow1959versuch:C:c4.p102.i1333.sV160:v2,pinnow1959versuch:C:c4.p102.i1333.sV160,,,
kh,,ɡɛˀb,to burn,,ɡɛˀb,,"pinnow1959versuch[p. 102, item 1329, set V156]",,Pinnow comparative set V156.,pinnow1959versuch:C:c1.p102.i1329.sV156,,,,
sa,m13,ɡɛˀd,"a cut, to cut",,ɡɛˀd,,"pinnow1959versuch[p. 159, item 1556, set V334]",,Pinnow comparative set V334. Linked to Rau m13 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p159.i1556.sV334,,,,
so,,ɡˈsoːd,"to wash, to mop, to wipe",,ɡˈsoːd,,"pinnow1959versuch[p. 112, item 1383, set V207]",,Pinnow comparative set V207.,pinnow1959versuch:C:c3.p112.i1383.sV207,,,,
kw,,ɪŋɡa,mother,,ɪŋɡa,,"pinnow1959versuch[p. 223, item 240, set K204]",,Pinnow comparative set K204.,pinnow1959versuch:C:c12.p223.i240.sK204,,,,
sa,,ɲa,"to find, seek, get, obtain",,ɲa,,"pinnow1959versuch[p. 70, item 1167, set V5]",,Pinnow comparative set V5.,pinnow1959versuch:C:c2.p70.i1167.sV005,,,,
sa,,ɲam,"to find, seek, get, obtain",,ɲam,,"pinnow1959versuch[p. 70, item 1167, set V5]",,Pinnow comparative set V5.,pinnow1959versuch:C:c2.p70.i1167.sV005:v2,pinnow1959versuch:C:c2.p70.i1167.sV005,,,
so,,ɲeˑn,me,,ɲeˑn,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c3.p186.i1652.sV402,,,,
so,,ɲen,me,,ɲen,,"pinnow1959versuch[p. 186, item 1652, set V402]",,Pinnow comparative set V402.,pinnow1959versuch:C:c3.p186.i1652.sV402:v2,pinnow1959versuch:C:c3.p186.i1652.sV402,,,
sa,,ɲindir,a kind of white ant ({Sci.name} Termes bellicosus),,ɲindir,,"pinnow1959versuch[p. 87, item 1268, set V102]",,Pinnow comparative set V102.,pinnow1959versuch:C:c2.p87.i1268.sV102,,,,
sa,,ɲində,night,,ɲində,,"pinnow1959versuch[p. 74, item 1205, set V43]",,Pinnow comparative set V43.,pinnow1959versuch:C:c2.p74.i1205.sV043,,,,
sa,m52,ɲir,"to run away, to flee",,ɲir,,"pinnow1959versuch[p. 250, item 385, set K294]",,Pinnow comparative set K294. Linked to Rau m52 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p250.i385.sK294,,,,
so,,ɲoːŋ,to stretch (one's body),,ɲoːŋ,,"pinnow1959versuch[p. 167, item 1596, set V361]",,Pinnow comparative set V361.,pinnow1959versuch:C:c3.p167.i1596.sV361,,,,
so,,ɲoːŋ-ˈɲoːŋ,to stand on tip-toe,,ɲoːŋ-ˈɲoːŋ,,"pinnow1959versuch[p. 167, item 1596-1, set V361]",,Pinnow comparative set V361.,pinnow1959versuch:C:c3.p167.i1596-1.sV361,,,,
so,,ɲoːŋ-ɲoːŋ-ɟeːŋ,to stand on tip-toe,,ɲoːŋ-ɲoːŋ-ɟeːŋ,,"pinnow1959versuch[p. 167, item 1596-1, set V361]",,Pinnow comparative set V361.,pinnow1959versuch:C:c3.p167.i1596-1.sV361:v2,pinnow1959versuch:C:c3.p167.i1596-1.sV361,,,
so,,ɲu-ˈɲuː,to smell,,ɲu-ˈɲuː,,"pinnow1959versuch[p. 255, item 412, set K315]",,Pinnow comparative set K315.,pinnow1959versuch:C:c3.p255.i412.sK315,,,,
so,,ɲuː,to smell,,ɲuː,,"pinnow1959versuch[p. 255, item 412, set K315]",,Pinnow comparative set K315.,pinnow1959versuch:C:c3.p255.i412.sK315:v2,pinnow1959versuch:C:c3.p255.i412.sK315,,,
sa,,ɲubəʔ,"dusk, twilight, become dark",,ɲubəʔ,,"pinnow1959versuch[p. 94, item 1294, set V128]",,Pinnow comparative set V128.,pinnow1959versuch:C:c2.p94.i1294.sV128,,,,
sa,,ɲumbəʔ,"dusk, twilight, become dark",,ɲumbəʔ,,"pinnow1959versuch[p. 94, item 1294, set V128]",,Pinnow comparative set V128.,pinnow1959versuch:C:c2.p94.i1294.sV128:v2,pinnow1959versuch:C:c2.p94.i1294.sV128,,,
sa,,ɲuhum,"twilight, dusk",,ɲuhum,,"pinnow1959versuch[p. 92, item 1281-1, set V115]",,Pinnow comparative set V115.,pinnow1959versuch:C:c2.p92.i1281-1.sV115,,,,
sa,m100,ɲum,"name, to name",,ɲum,,"pinnow1959versuch[p. 141, item 1484, set V279]",,Pinnow comparative set V279. Linked to Rau m100 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p141.i1484.sV279,,,,
sa,m100,ɲutum,"name, to name",,ɲutum,,"pinnow1959versuch[p. 141, item 1484, set V279]",,Pinnow comparative set V279. Linked to Rau m100 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p141.i1484.sV279:v2,pinnow1959versuch:C:c2.p141.i1484.sV279,,,
sa,,ɲũ,to drink,,ɲũ,,"pinnow1959versuch[p. 92, item 1278, set V112]",,Pinnow comparative set V112.,pinnow1959versuch:C:c2.p92.i1278.sV112,,,,
sa,m89,ɲũr,"to fell, drop, fall",,ɲũr,,"pinnow1959versuch[p. 91, item 1272, set V106]",,Pinnow comparative set V106. Linked to Rau m89 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c2.p91.i1272.sV106,,,,
sa,,ɲũˀd,darkness,,ɲũˀd,,"pinnow1959versuch[p. 92, item 1281, set V115]",,Pinnow comparative set V115.,pinnow1959versuch:C:c2.p92.i1281.sV115,,,,
so,,ɲɑm,"catch hold of, seize, arrest, obtain, accept",,ɲɑm,,"pinnow1959versuch[p. 70, item 1167, set V5]",,Pinnow comparative set V5.,pinnow1959versuch:C:c3.p70.i1167.sV005,,,,
sa,,ɲɛl,"to see, to look",,ɲɛl,,"pinnow1959versuch[p. 349, item 899, set K495i]",,Pinnow comparative set K495i.,pinnow1959versuch:C:c2.p349.i899.sK495i,,,,
sa,,ɲɛlɛ chata,honeycomb,,ɲɛlɛ chata,,"pinnow1959versuch[p. 120, item 1419-1, set V234]",,Pinnow comparative set V234.,pinnow1959versuch:C:c2.p120.i1419-1.sV234,,,,
sa,,ɲɛlɛ,"a large bee ({Sci.name} Apis dorsata, Fabr.)",,ɲɛlɛ,,"pinnow1959versuch[p. 120, item 1419, set V234]",,Pinnow comparative set V234.,pinnow1959versuch:C:c2.p120.i1419.sV234,,,,
sa,,ɲɛ̃ˀd,to dye red,,ɲɛ̃ˀd,,"pinnow1959versuch[p. 179, item 1638-1, set V396]",,Pinnow comparative set V396.,pinnow1959versuch:C:c2.p179.i1638-1.sV396,,,,
ko,m87,ʃen,to go,,ʃen,,"pinnow1959versuch[p. 151, item 1514, set V300]",,Pinnow comparative set V300. Linked to Rau m87 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p151.i1514.sV300,,,,
ko,,ʃim,hen,,ʃim,,"pinnow1959versuch[p. 155, item 1530, set V314]",,Pinnow comparative set V314.,pinnow1959versuch:C:c5.p155.i1530.sV314,,,,
ko,m61,ʃimbil,sweet,,ʃimbil,,"pinnow1959versuch[p. 128, item 1453, set V257]",,Pinnow comparative set V257. Linked to Rau m61 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p128.i1453.sV257,,,,
ko,m61,ʃimil,sweet,,ʃimil,,"pinnow1959versuch[p. 128, item 1453, set V257]",,Pinnow comparative set V257. Linked to Rau m61 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p128.i1453.sV257:v2,pinnow1959versuch:C:c5.p128.i1453.sV257,,,
ko,m33,ʃiŋrup,evening,,ʃiŋrup,,"pinnow1959versuch[p. 141, item 1485, set V280]",,Pinnow comparative set V280. Linked to Rau m33 through Rau's printed Pinnow cross-reference.,pinnow1959versuch:C:c5.p141.i1485.sV280,,,,
ko,,ʃunum,oil,,ʃunum,,"pinnow1959versuch[p. 93, item 1285, set V119]",,Pinnow comparative set V119.,pinnow1959versuch:C:c5.p93.i1285.sV119,,,,
mu,,ʈaɳʈi,"barren, past the age of breeding",,ʈaɳʈi,,"pinnow1959versuch[p. 155, item 1529, set V313a]",,Pinnow comparative set V313a.,pinnow1959versuch:C:c4.p155.i1529.sV313A,,,,
